地名,センター,もえるごみ,もえないごみ,容器包装・資源ごみ,粗大ごみ
清水,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
庄,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
加賀爪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
横浜,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
杉瀬,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
倉見,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
田屋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
岩崎,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
七黒,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
鳥越,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
山北,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
蓮花寺,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
宮田,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
鳥屋尾,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
大畠,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
莇谷,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
笠池ヶ原,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160415 20160520 20160617 20160715 20160819 20160916 20161021 20161118 20161216 20170120 20170217 20170317,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
